PLANILHA DE RESULTADOS DOS TESTES - LIBRARY'S POTTER
Autores: Arthur Roberto Weege Pontes, Guilherme Silveira, Lucas Alves
Execucao: 08/09/2026;Ambiente: Windows 10, Node 22.15.0, PostgreSQL 17.11

CASOS DE TESTE
ID;Categoria;Area;Caso de teste;Resultado esperado;Resultado obtido;Status;Origem
CT-01;Funcional;Cadastro e login;Criar conta nova com nome, e-mail e senha validos;201, token devolvido e cookie de sessao gravado;201, token recebido, Set-Cookie token HttpOnly SameSite=Lax;Passou;Roteiro
CT-02;Funcional;Cadastro e login;Cadastrar com e-mail ja existente;409 com mensagem clara;"409 ""Ja existe uma conta com este e-mail.""";Passou;Roteiro
CT-03;Funcional;Cadastro e login;Cadastrar com e-mail invalido e senha de 3 caracteres;400 apontando o campo errado;400 VALIDATION_ERROR com issues por campo;Passou;Roteiro
CT-04;Funcional;Cadastro e login;Cadastrar nos tres papeis (leitor, fornecedor, suporte);201 nos tres;201 nos tres;Passou;Automatizado
CT-05;Funcional;Cadastro e login;Cadastrar com um papel inventado;400;400;Passou;Automatizado
LG-01;Funcional;Cadastro e login;Entrar com e-mail e senha corretos;200 com token;200, token recebido;Passou;Roteiro
LG-02;Funcional;Cadastro e login;Entrar com a senha errada;401 sem dizer qual campo falhou;"401 ""E-mail ou senha incorretos.""";Passou;Roteiro
LG-03;Funcional;Cadastro e login;Acessar o painel do cliente com sessao valida;200 com o perfil;200 com perfil e estatisticas;Passou;Roteiro
LG-04;Funcional;Cadastro e login;Acessar o painel do cliente sem token;401;"401 ""Sessao expirada ou invalida.""";Passou;Roteiro
LG-05;Funcional;Cadastro e login;Painel traz pedidos, avaliacoes e chamados do leitor;Contagens batem com o seed;Confere;Passou;Automatizado
LG-06;Funcional;Cadastro e login;Sair da conta;200 e cookie apagado;200, token= Max-Age=0 Expires=1970;Passou;Roteiro
RS-01;Funcional;Cadastro e login;Pedir link de redefinicao para e-mail cadastrado;200 e token valido por 30 minutos;200, token gerado;Passou;Roteiro
RS-02;Funcional;Cadastro e login;Pedir link para e-mail NAO cadastrado;Mesma resposta, para nao revelar quem tem conta;Mesma mensagem e mesmo status;Passou;Roteiro
RS-03;Funcional;Cadastro e login;Redefinir a senha usando o token;200;200;Passou;Roteiro
